Category,State/UT,No Education_male,No Education_Female,No Education_Trans,No Education_Total,Primary (up to class–5th)_male,Primary (up to class–5th)_Female,Primary (up to class–5th)_Trans,Primary (up to class–5th)_Total,Middle (up to class–8th)_male,Middle (up to class–8th)_Female,Middle (up to class–8th)_Trans,Middle (up to class–8th)_Total,Matriculate/ Secondary (up to class–10th)_male,Matriculate/ Secondary (up to class–10th)_Female,Matriculate/ Secondary (up to class–10th)_Trans,Matriculate/ Secondary (up to class–10th)_Total,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_male,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_Female,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_Trans,Hr. Secondary/ Intermediate/ Pre-University (up to class–12th)_Total,Diploma/Certificate/ ITI_male,Diploma/Certificate/ ITI_Female,Diploma/Certificate/ ITI_Trans,Diploma/Certificate/ ITI_Total,Graduate and above_male,Graduate and above_Female,Graduate and above_Trans,Graduate and above_Total,Professionals (MBA etc.)_male,Professionals (MBA etc.)_Female,Professionals (MBA etc.)_Trans,Professionals (MBA etc.)_Total,Status Not known_male,Status Not known_Female,Status Not known_Trans,Status Not known_Total,Total_male,Total_Female,Total_Trans,Total_Total
State,UTTARAKHAND,7,11,0,18,24,11,0,35,39,20,0,59,151,79,0,230,97,49,0,146,0,0,0,0,17,11,0,28,0,0,0,0,0,0,0,0,335,181,0,516
State,WEST BENGAL,345,289,0,634,1428,777,0,2205,1397,969,0,2366,1270,876,0,2146,768,596,0,1364,14,8,0,22,130,54,0,184,0,0,0,0,2417,1327,0,3744,7769,4896,0,12665
State,TOTAL (STATES),11414,5941,2,17357,15659,6587,5,22251,19130,7682,2,26814,22763,8864,5,31632,13237,5362,2,18601,1281,352,0,1633,3625,1419,1,5045,236,89,0,325,7838,4155,0,11993,95183,40451,17,135651
UT,A & NISLANDS,11,5,0,16,26,5,0,31,24,10,0,34,21,7,0,28,21,11,0,32,1,1,0,2,3,4,0,7,0,0,0,0,23,8,0,31,130,51,0,181
UT,CHANDIGARH,6,2,0,8,19,9,0,28,17,9,0,26,25,5,0,30,17,9,0,26,2,0,0,2,7,4,0,11,0,0,0,0,0,0,0,0,93,38,0,131
UT,D & N HAVELI,16,6,0,22,10,4,0,14,7,3,0,10,21,7,0,28,14,3,0,17,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,72,23,0,95
UT,DAMAN & DIU,2,2,0,4,7,2,0,9,7,5,0,12,6,3,0,9,6,5,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,29,17,0,46
UT,DELHI (UT),113,45,0,158,173,100,0,273,293,116,0,409,454,190,0,644,360,181,0,541,23,3,0,26,86,31,0,117,6,4,0,10,250,98,0,348,1758,768,0,2526
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,PUDUCHERRY,20,3,0,23,38,5,0,43,14,4,0,18,50,6,0,56,170,110,0,280,41,4,0,45,0,0,0,0,0,0,0,0,15,13,0,28,348,145,0,493
UT,TOTAL (UTs),168,63,0,231,273,125,0,398,362,147,0,509,577,218,0,795,588,319,0,907,67,8,0,75,101,39,0,140,6,4,0,10,288,119,0,407,2430,1042,0,3472
TOTAL (ALL INDIA),TOTAL (ALL INDIA),11582,6004,2,17588,15932,6712,5,22649,19492,7829,2,27323,23340,9082,5,32427,13825,5681,2,19508,1348,360,0,1708,3726,1458,1,5185,242,93,0,335,8126,4274,0,12400,97613,41493,17,139123
