Sl. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above – Below 18 years - Male,14 and Above – Below 18 years - Female,14 and Above – Below 18 years - Transgender,14 and Above – Below 18 years - Total,18 and Above – Below 30 years - Male,18 and Above – Below 30 years - Female,18 and Above – Below 30 years - Transgender,18 and Above – Below 30 years - Total,30 and Above – Below 45 years - Male,30 and Above – Below 45 years - Female,30 and Above – Below 45 years - Transgender,30 and Above – Below 45 years - Total,45 and Above – Below 60 years - Male,45 and Above – Below 60 years - Female,45 and Above – Below 60 years - Transgender,45 and Above – Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,311,132,0,443,947,231,0,1178,3727,661,0,4388,4673,793,0,5466,3279,677,0,3956,1373,434,0,1807,14310,2928,0,17238
2,State,Arunachal Pradesh,8,3,0,11,9,4,0,13,71,16,0,87,77,10,3,90,21,6,0,27,3,2,0,5,189,41,3,233
3,State,Assam,106,48,1,155,546,109,0,655,1325,225,0,1550,1265,214,0,1479,616,105,0,721,199,31,0,230,4057,732,1,4790
4,State,Bihar,912,349,0,1261,1756,487,0,2243,2782,767,0,3549,2116,681,0,2797,1106,330,0,1436,375,136,0,511,9047,2750,0,11797
5,State,Chhattisgarh,857,509,0,1366,731,392,0,1123,3803,1321,1,5125,4062,1121,0,5183,2877,712,0,3589,1172,540,0,1712,13502,4595,1,18098
6,State,Goa,20,11,0,31,17,3,0,20,204,21,0,225,252,16,0,268,156,23,0,179,97,23,0,120,746,97,0,843
7,State,Gujarat,508,266,0,774,1085,308,0,1393,5310,1400,1,6711,6474,1539,3,8016,4645,796,0,5441,1745,461,0,2206,19767,4770,4,24541
8,State,Haryana,254,114,0,368,661,146,0,807,4305,682,0,4987,4276,618,0,4894,3047,271,0,3318,724,120,0,844,13267,1951,0,15218
9,State,Himachal Pradesh,68,32,0,100,89,45,0,134,847,226,0,1073,760,207,0,967,621,134,0,755,184,36,0,220,2569,680,0,3249
10,State,Jammu & Kashmir,25,7,0,32,80,21,0,101,404,75,0,479,439,79,0,518,158,37,0,195,26,3,0,29,1132,222,0,1354
