Sl. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total
33,Union Territorie,DAMAN & DIU,4,2,0,6,1,1,0,2,40,14,0,54,43,7,0,50,25,2,0,27,6,0,0,6,119,26,0,145
34,Union Territorie,DELHI (UT),191,102,0,293,248,112,0,360,1994,386,1,2381,2014,299,0,2313,1047,152,0,1199,287,68,0,355,5781,1119,1,6901
35,Union Territorie,LAKSHADWEEP,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,3,3,0,0,3,0,0,0,0,5,2,0,7
36,Union Territorie,PUDUCHERRY,19,11,0,30,24,4,0,28,127,42,0,169,285,47,0,332,380,46,0,426,199,23,0,222,1034,173,0,1207
TOTAL (UTs),TOTAL (UTs),TOTAL (UTs),240,128,0,368,307,130,0,437,2272,473,1,2746,2487,387,0,2874,1553,220,0,1773,532,107,0,639,7391,1445,1,8837
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),12035,5825,1,17861,19916,6819,1,26736,93123,24523,18,117664,104704,24599,16,129319,70077,14712,7,84796,28386,8691,4,37081,328241,85169,47,413457
37,City,AGRA,5,0,0,5,37,8,0,45,310,64,2,376,240,30,2,272,84,6,0,90,5,0,0,5,681,108,4,793
38,City,AHMEDABAD,48,37,0,85,54,21,0,75,415,142,0,557,560,140,0,700,530,60,0,590,187,70,0,257,1794,470,0,2264
39,City,ALLAHABAD,55,28,0,83,89,29,0,118,244,109,0,353,270,83,0,353,267,45,0,312,172,28,0,200,1097,322,0,1419
40,City,AMRITSAR,2,2,0,4,15,4,0,19,32,5,0,37,105,22,0,127,77,6,0,83,44,7,0,51,275,46,0,321
41,City,ASANSOL,0,0,0,0,12,9,0,21,203,82,0,285,298,32,0,330,107,0,0,107,0,0,0,0,620,123,0,743
42,City,AURANGABAD,15,13,0,28,8,6,0,14,137,58,0,195,211,54,0,265,196,39,0,235,126,32,0,158,693,202,0,895
43,City,BENGALURU,75,48,0,123,63,21,0,84,671,155,1,827,1002,178,0,1180,864,158,0,1022,385,112,0,497,3060,672,1,3733
44,City,BHOPAL,41,37,0,78,95,54,0,149,694,189,0,883,824,156,0,980,424,119,0,543,298,22,0,320,2376,577,0,2953
45,City,CHANDIGARH (CITY),10,4,0,14,24,8,0,32,43,16,0,59,60,17,0,77,39,11,0,50,17,2,0,19,193,58,0,251
46,City,CHENNAI,90,39,0,129,64,9,0,73,541,80,1,622,923,107,0,1030,1103,126,0,1229,678,191,0,869,3399,552,1,3952
47,City,COIMBATORE,3,4,0,7,4,2,0,6,109,23,0,132,124,23,0,147,130,22,0,152,68,23,0,91,438,97,0,535
48,City,DELHI (CITY),163,86,0,249,211,93,0,304,1709,293,1,2003,1732,245,0,1977,932,136,0,1068,265,64,0,329,5012,917,1,5930
49,City,DHANBAD,0,0,0,0,14,1,0,15,40,9,0,49,29,9,0,38,11,7,0,18,3,2,0,5,97,28,0,125
50,City,DURG BHILAINAGAR,36,7,0,43,11,4,0,15,157,48,0,205,259,49,0,308,223,45,0,268,0,0,0,0,686,153,0,839
51,City,FARIDABAD,11,4,0,15,16,4,0,20,132,16,0,148,148,14,0,162,61,5,0,66,12,2,0,14,380,45,0,425
52,City,GHAZIABAD,16,4,0,20,77,8,0,85,351,47,0,398,273,42,0,315,97,21,0,118,17,8,0,25,831,130,0,961
